name;name_rus;id;elevation;latitude;longitude
MOZAJSK, RS;Можайск;27509;185;55.5;36
NOVO JERUSALIM, RS;Ново-Иерусалим;27511;162;55.9;36.817
NARO FOMINSK, RS;Наро-Фоминск;27611;193;55.37756101;36.70222905
MOSCOW, RS;Москва;27612;156;55.8331;37.6167
SERPUHOV, RS;Серпухов;27618;166;54.933;37.467
KOLOMNA, RS;Коломна;27625;114;55.1;38.7
VNUKOVO, RS;Внуково;27524;202;55.58726;37.25136
MSU, RS;МГУ;MSU;190;55.7069724;37.5222431
Balchug, RS;Москва (Балчуг);27605;129;55.7474307;37.6317075
Nemchinovka;Немчиновка;27515;;55.71888;37.34993
Gorki Leninskie;Горки Ленинские;27621;;55.50629768;37.78045044
Mal Sareevo;Мал. Сареево;27518;;55.7140128;37.19484839
